song_names , artist_names
Abdallâh , Tryo
Abdul , The sales representatives
Abel has a donkey , Gabby Marchand
Abelard , Alexis HK
Abélard , Loïc Lantoine with Juliette and Laurent Deschamps
The body is Abélard , Giani Esposito
Héloïse and Abélard , Mannick
Abigael , Erik Arnaud
Abigail , Daphne
Abraham and dad , Sylvain Lelièvre
In Abraham's luggage , Jacqueline Dulac
The children of Abraham , Hugues Aufray
Abraham's children , Enrico Macias
The memory of Abraham , Céline Dion
Father Abraham , Gil Bernard
Miss Acacia is the locomotive or Miss Acacia , Dionysus
Achille , Axel Bauer
Achilles , Karpatt
Achille , William Schotte
Achilles , Tohama
Achilles and Cunégonde , Sim
Adam and she , Zébulon
Adam and Eve , Abd al Malik with Wallen
Adam and Eve , Kain
Adam and Eve , Caterina Valente
Adam and Yves , Zazie
N'onc ' Adam , Gérard Dôle
Noël d ' Adam , André Claveau
Adam's Apple , Lucid Beausonge
Adelaide , Pascal Lejeune
Adelaide , Patrick Loiseau
Adélaïde , Arnold Turboust with Zabou
Adélard waits , Eric Panic
Adele , Beau Dommage
Adele , Bourvil
Adele , Vincent Gaffet
Adele , Lucien Hétu
Adèle , Patricia Kaas
Adele , Marcel Martel
Adèle , Magouille Ministry
Adele , The Four Beards
Adele , Serge Reggiani
L ' Adèle , Catherine Ringer
Dear Adèle , Gérald Genty
The faithful Adèle , Marie Bizet
Sister Adèle , Sister Smile
Adelina , Guy Marchand
Adeline , Gérard Blanchard
Adeline , Johnny Hallyday
Ballad for Adeline , Danielle Licari
Adélita , Julien Clerc
Adelita , Dario Moreno
Adora , Indochina
Adrian , Buzy
Adrian , Mathieu Rosaz
Adriana , Majster
Adrien , Anne Baquet
Adrien , Satan Jokers
Song of Adrien , Tom Poisson
Petit Adrien , The Hams
Adrienne , Pascal Auberson
Adrienne , Isabelle Boulay
Adrienne ,Albin de la Simonealone and withVanessa Paradis
Fat Adrienne , Jack Defer
Agata , Nino Ferrer
Agata , Soan
Agatha , Francis Bebey
Agatha , Pierre Billon
Agatha , Annie Cordy
Agatha , Jann Halexander
Agatha , Plume and Doctor Landry
Agatha , Pascal Lejeune
Agatha , Rachid Taha
The beautiful eyes of Agatha , Paul Braffort
Agathe , Roberto Bellarosa
Agathe , Pascal Lejeune
Agathe , Mickaël Miro
Agathe and Victor , Philippe Anciaux
Adequate Agathe , Travis Bürki
Aunt Agathe , Eric Charden
Aunt Agathe , Rika Zaraï
Agénor , Michel Bühler
Agénor the Brontosaurus , Max Rongier
Madeleine and Agénor , Ouvrard
Aglaé , Aglaé
Aglaé , Hélène Bohy
Aglaë , Georges Chelon
Aglaé , Sttellla
Aunt Aglaé , Gilbert Laffaille
Agnes , Marc Aryan
Agnes , Yvan Marc
Agnes , Niobe
The delights of Agnès , Marcel Kanche
Agostinho , Dick Annegarn
Ahmed , Antoine
Ahmed , Doctor Merlin
Aïcha , Pierre Éliane
Aïcha , Khaled
Aïcha , Lucette Raillat
Aïcha , Singuila
Aïcha's cat , Éric Guilleton
Tata Aïcha , Zen Zila
Aimé , The Smiling Bootie
Aimé , More bifluorinated song
Loved , Michel Faubert
Loved , Pierpoljak
Aimé Girondin , Georges Dor
Her name is Aimée , Gérard Morel
Akila , Dikès
Aladine , Dikès
Alain , Dick Annegarn
Alain the cat , Zabriskie Point
From Alain to Line , Nicolas Bacchus
Hugs from Alain , Jacqueline Blériot
Hélène loved Alain , Sttellla
Martine and Alain , Font and Val
Nadine and Alain , Brigitte Bop
Raoul and Alain , Marcel and his Orchestra
Alan and the apple , Adamo
Albert , Dick Annegarn alone and with Robert Pete Williams
Albert , Bouskidou
Albert and Albert the contractor , Les Charlots
Albert , Marcel Kanche
Albert , Pit and Rik
Albert , Les Tireux d'Roches
Albert backwards , Steve Waring
Albert in the middle of the bridge , Rue de la Muette
Albert the beaver , Gaëtan
Albert du haut des vents , Manu Lann Huel
Albert VS , Rue de la Muette with Christophe Bell Œil
My dear Albert , Jean Yanne
Doctor Albert , Rock and Belles Oreilles
My friend Albert and I , Gérard Delahaye
Monsieur Albert , The Air of Nothing
Mr Albert , Barbarie Crespin
Uncle Albert , Michel Bühler
Little Albert , Michel Farinet
Albert's claims , Jean Yanne
Hello from Albert , Carlos
Valérie and Albert , Au Bonheur des dames
Albertine , Jimmy Hunt
Albertine , Georges Ulmer
Missing Albertine , Pierre Guimard
Free Albertine , Alain Klingler
The story of Jean Rossi and the great Alberto , Rue d'la Gouaille
Alcide , Michel Françoise
Aldebert , Pigalle
Aldo , Dennis' Twist
Aldo , Fred Chicken
Alex , Pep's
Xavier and Alex , ZUT
Alexa , Francois Feldman
Alexandra , Jack Dupon
Alexandra , Thierry Stremler
Lullaby for Alexandra and My little Alexandra , Pierre Lalonde
Alexandre , Juliette Armanet
Alexandre , Les Cailloux
Alexandre , Ladybug
Alexandre , Emily
Alexandre , Michel Faubert
Alexandre , Jacqueline François
Alexandre , Malicorne
Alexandre , Néry
Alexandre , Tom Poisson
Alexandre M. , Jeanne Mas
In the arms of Alexandre , Véronique Rivière
Where do you come from Alexandre , Les Charbonniers de l'Enfer
SOS Alexandre , Marc Robine
Alexandria , Georges Moustaki
Alexis , Alibert
Alexis , The Jerolas
Alexis or Alexis awaits me , Philippe Lafontaine
Alfie , Gregori Czerkinsky
Alfie , Nanette Workman
Alfonso , Jacques Desrosiers
Well done Alfonso , Rudy Hirigoyen
Alfred , Jacques Poustis
Alfred , Eric Vincent
To my friend Alfred T. , Patrick Bruel
Hello from Alfred , Gilbert Laffaille
The misfortunes of Alfred , Pierre Richard
Hello from Alfred , Patrick Topaloff
Alfredo , Edgar Bori
Alcina de Jesus , Nino Ferrer
Ali , Brigitte Fontaine
Ali , La Maison Tellier
Ali , Dario Moreno
Ali be good , Patrick Topaloff
Ali and Félix , Bénabar
Ali and Maria , Bertrand Belin
Ali and Tacmas are chatting , Hi that's cool
Hello Ali , Laughs
Friend Ali , Merlot
Caïd Ali , Art Mengo
Alia , Pep's
Alia Soûza , Véronique Sanson
Alice , Adamo
Alice , Jeanne Balibar
Alice , Guillaume Barraband
Alice , Philippe B
Alice , Jane Birkin
Alice , Guy Bontempelli
Alice , Buzy
Alice , Cafe Bertrand
Alice , The Dogs
Alice , Harry Diboula
Alice , Dikès
Alice , Claude Dubois
Alice , Mylène Farmer
Alice , FFF
Alice , Jérémie Kisling with J. Tschanz
Alice , Feather Latraverse
Alice , Maryse Letarte
Alice , Eddy Mitchell
Alice , Desire Black
Alice , Geneviève Paris
Alice , Damien Saez
Alice , David Sire
Alice , Francesca Solleville
Alice , Stiffheads
Alice , Pierre Vassiliu
Alice in the blue country , Jacky Moulière
Alice in Arto Country , La Bottine souriante
Alice in Love Land , Eddy Mitchell
Alice in the land of perverts , Pascal Rinaldi
Alice in New Age Land , Les Malpolis
Alice is slipping ,Francky Vincent
Alice gives in , Candie Prune
Alice is sleeping , The Zaârma Manifesto
Alice is getting thinner and thinner , La Variété
Alice and Johnny , The Companions of the Song
Alice alas , Catherine Deneuve
Alice and June ,Indochina
Alice and Lewis , Catherine Fontaine and Marie
Alice Liddell , Reverend Alexander
Alice Long , Steve Fiset
Acid Alice , The Cry of the Fly
In Alice's Garden , Patrick Juvet
That of Alice , Pierre Perret
Alice's song , Marén Berg
Alice's song , Michel Fugain
Dear Alice , Zachary Richard
Defend Alice , Valentin Marceau
Tell me Alice , Théo Sarapo
Far from Alice , Claude Morgan
The sweet night of Alice , Michel Delpech
For Alice , Greg Zlap
The secrets of Alice , Amélie Morin
Alice's Venom , Julien Loko
The voice of Alice , Marcel and his Orchestra
Alicia , Christian Borel
Alicia , Justin
Alicia , Émilie Simon
Aliénor , Patrick Abrial
Aline , Christophe
Aline , Jacques Denjean
Aline , Julien Doré
Aline , The Gam's
Aline , Daniel Guérard
Aline , Lucien Hétu
Aline , Donald Lautrec
Aline , Nolwenn Leroy
Aline , The Lolitas
Aline , Guy Mardel
Aline , Frank Michael
Aline , René Simard
At the Bois d ' Aline , Mick is all alone
In Aline , Charles and Johnny's bed
The ragga of Aline , Catherine Fontaine
Alisee , Keen'v
Alison , Jordy
Alison , The Séguins
Alison , Ycare
The reel of Alison , Gilles Vigneault
Alix and Martin , Caroline Cler and Aimé Doniat
Allain , Yvette Yché
Allan , Mylène Farmer
Allan , Christophe Marquilly
Allan and Louise , Vincent Delerm
Allen , Vincent Absil
Allen , Judith Bérard
Allison , Danyel Gérard
Allison , The Wampas
Farewell Alma , Dominique A
Almarita , La Rue Ketanou
Aloha , Kaolin
Aloha Aloha , General Alcazar
Aloha , Catherine Lara
Song for Aloha , Pierre Malar
Alphonse , Lynda Lemay
Call me Alphonse , Paul Brunelle
Alphonse's bistro , Bernard Dimey
Lament of Alphonse , Philippe Clay
Alphonsine , Pierre Perret
Aly , David Jalbert
Alys in cinemascope , Diane Dufresne
Amad , Batlik
Amadeo , Sapho
Amadou's schoolbag , Dominique Dimey
Amalia , Boris Mégot
Amalia Rosa , Gloria Lasso
Amalya , Mélanie Cohl
Amanda , Georges Chelon
Amanda , Cléa Vincent
Amanda , Volume was at max
Amanda's song , Zizi Jeanmaire
Amandine , The Hams
Amandine , Carole Laure
Amandine II , Damien Saez
Amandine's mother , Yves Duteil
Amar and Antoinette , Mouron
Amaryllis , Julos Beaucarne
The Little Amazon , Line Renaud
Amber , André Claveau
Amber , Tino Rossi
The blues of Amédé , Mama Rosin
Amédée , Fernandel
Amédée , Moune de Rivel
Leaves Amédée , David Martial
Uncle Amédée , Les Elles
Amedeo , Santo Barracato
Amelia , Richard Birman
Amélia , The Creole Company
Sweet Amelia , The Volley of Castors
Amélie , David Koven
Amélie , Amélie Morin
Amélie , Pierre Perret
Amélie , Raphy Rafaël
Amélie , Séverin
Amélie , Zabriskie Point
Amélie Colbert , Laurent Voulzy
Amélie des clouds , Alain Dion
Amélie Granville , Joël Prévost
Amélie told me , Alizée
Amélie Vandecasteel , William Schotte
The A to Amelie , The Howls of Léo
The beautiful Amélie , Hervé Brousseau
Like Amélie , Café Bertrand
Émile and Amélie , Alexandre Révérend
Amélie's secret , Françoise Kucheida
Aunt Amélie , Guylaine Guy
Aunt Amélie , Billy Nencioli
Ameline my cousin , Les Ours du Scorff
Amin , The Guimard Delaunay Process
Ana , Najoua Belyzel
Ana , Daniel Darc
Ana , Jacques Salvail
Ana , Tony Truant
Ana darling , blue elf
Ana anyway , Stanislas
Ana's curls , Bastien Lallemant
Anabel , Georges Guétary
Anabel Lee , Martin Destrée
Anabelle , Arthur H
Anabelle , Marco and the Torvis
Anabelle , Frédérik Mey
Anaé , Annie Cordy
Anaé one year , Steve Waring
Anahë , Stella Vander
Anaïs , Bartone
Anaïs , Julos Beaucarne
Anaïs , Barbara Carlotti
Anaïs , Raphy Rafaël
Anaïs , Soan
Anaïs anal , Gogol Premier
Anaïs and Maïa , Maurice Reverdy
Guillaume and Anaïs , Catherine Fontaine and Marie
Anakin , Master Gims
Anastasia , Patrick Abrial
Anastasia , André Dassary
Anastasia , Lucienne Delyle
Anastasia , Andrée Simons
Anatole , José Bartel
Anatole , Stephen Faulkner
Anatole , Valérie Lagrange
Anatole , Sanseverino
A like Anatole , Standing on the Zinc
L ' Anatole , Michel Sardou
The woman in Anatole , Patachou
Beware of Anatole , Georgius
The secret of Anatole , Marén Berg
André , Captain Noh
André , Denise Filiatrault
The fraternal ballad of Marie and André , Plume Latraverse
André's rifle , Silvain Vanot
MonOnc ' André , Les Cowboys fringants
Andréa , Frédérick Baron
Andréas , Georges Moustaki
Ulrike and Andréas , Private Louis
Andrée Madelen , Marc and André
Andy , BB Brunes
Andy , Babet
Andy , Mireille Mathieu
Anemone , Pascal Rinaldi
Mermaid Anemone , Jacques Douai
Angel , Axel Bauer
Angel , Charlie
Angel , Dolly
Angel , Marabu
Angel , Eddy Mitchell
Angel , Shake
Angela , Alain Barrière
Angela , Benoît Blue Boy
Angela , Bensé
Angela , Gerry Boulet
Angela , Fatals Picards
Angela , Frédéric François
Angela , Sylvie Maréchal
Angela , Amélie Morin
Angela , Aya Nakamura
Angela , Yannick Noah
Angela , Saïan Supa Crew
Angela , Véronique Sanson
Angela my love , Luc and Lise
Angela's Madona , Jen Roger
Angelatine , Feather Latraverse
Angèle , Christine Authier
Angela , Bourvil
Angèle , André Breton
Angela , Julien Clerc
Angela , Marka
Angèle , Pigalle
Angèle , Northern neighborhoods
Belle Angèle , Jean Vallée
Dear Angèle , Gérald Genty
I exist Angèle , Romain Didier
Madame Angèle , André Bialek
Miss Angèle , Enrico Macias
Mam'zelle Angèle , Jacques Martin
Mam'zelle Angèle , Yan and the Bees
Angelik , Robert
Angelina , Marc Aryan
Angelina , Patrick Coutin
Angelina , Grand Jojo
Angelina , Jean Guidoni
Angelina , Jacques Hélian
Angelina , Yvette Guilbert
Angelina , Kathleen
Angélina , Maître Gims feat. Laurent Twins
Angelina , Pierre Malar
Angelina , Frank Michael
Angelina , Christopher Murray
Angelina , Fernand Robidoux
Angelina , Tino Rossi
Angelina my beautiful , Patrice and Mario
Goodbye Angelina , Michel Berger & France Gall
Little Angelina , Daniel Guichard
Angeline , Daniel Lavoie
Angeline , John Littleton
Angeline , Daniel Seff
Angelique , Arbadetorne
Angelique , André Claveau
Angelique , Herbert Léonard
Angélique , Marcel and her Orchestra
Angelique , Jean Nichol
Angélique , Les Ogres de Barback
Angelique , Michel Orso
Angelique , Christian Vidal
Angelique , Claude Vincent
Angelique Bigoudis , Charlélie Couture
Little sister Angélique , Léo Marjane
Sister Angélique , Annie Philippe
Angelito , Maria de Rossi
Angelito , Pierre Lalonde
Angelo , Michèle Arnaud
Angelo , The Companions of the Song
Angelo mio , Lucille Dumont
Ferdinand and Angello , Tom Rivest
Angie , Roger Mason and Steve Waring
Nostalgia for Angie , Yves Montand
Angus ' Dream , Alan Stivell
Ania's tea , Marc Perrone
Funny Anibal , Bruno Coupé
The Little Rabbit , Gabby Marchand
Anita , Renée Claude
Anita , Standing on Zinc
Anita , Michel Mallory
Anita , Matmatah
Anita , Mikado
Anita , Nery
Anita , Ginette Ravel
Anita , Grand Jojo
Anita Petersen , Vincent Delerm
Augustin and Anita , Daran
